"�.�BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"30"	""	"January 11, 2015 Sunday"	NA	"The Lives They Lived"	"662 words"	"The New York Times"	"Section MM; Column 0; Magazine Desk; REPLY ALL; Pg. 8"	NA	NA
"31"	"By DAN BILEFSKY and MAÏA de la BAUME; Eric Schmitt contributed reporting from Washington and Sebnem Arsu from Istanbul."	"January 11, 2015 Sunday"	NA	"Paris Is on High Alert Ahead of a Giant Unity Rally"	"1964 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"32"	"By ANDREW HIGGINS; Assia Labbas and Laure Fourquet contributed reporting."	"January 11, 2015 Sunday"	NA	"French Police Say Suspect in Attacks Evolved From Petty Criminal to Terrorist"	"1115 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"33"	"By SCOTT SHANE; Reporting was contributed by Rukmini Callimachi in Paris, Kareem Fahim in Cairo, and Shuaib Almosawa in Sana, Yemen."	"January 11, 2015 Sunday"	NA	"In New Era of Terrorism, Voice From Yemen Echoes as France Declares 'War'"	"2047 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"34"	"THE NEW YORK TIMES"	"January 11, 2015 Sunday"	NA	"Paris March Draws More Than 1 Million Into the Streets"	"5500 words"	"The New York Times Blogs(News)"	""	NA	NA
"35"	""	"January 11, 2015 Sunday"	NA	"The Lives They Lived"	"664 words"	"The New York Times"	"Section MM; Column 0; Magazine Desk; REPLY ALL; Pg. 8"	NA	NA
"36"	"By ANDREW HIGGINS; Assia Labbas and Laure Fourquet contributed reporting."	"January 11, 2015 Sunday"	NA	"French Police Say Suspect in Attacks Evolved From Petty Criminal to Terrorist"	"1123 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"37"	"By ANDREW HIGGINS; Assia Labbas and Laure Fourquet contributed reporting."	"January 11, 2015 Sunday"	NA	"French Police Say Suspect in Attacks Evolved From Petty Criminal to Terrorist"	"1123 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"38"	"By REUTERS"	"January 12, 2015 Monday"	NA	"Lebanon: Islamic State Suspected in Explosion"	"78 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; WORLD BRIEFING; Pg. 5"	NA	NA
"39"	"By JIM YARDLEY; Aurelien Breeden contributed reporting from Paris, and Carlotta Gall from Algiers, Algeria."	"January 12, 2015 Monday"	NA	"Jihadism Born in a Paris Park and Fueled in the Prison Yard"	"2130 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"40"	"By STEVEN ERLANGER; Assia Labbas contributed reporting."	"January 12, 2015 Monday"	NA	"In Cold Political Terms, Far Right and French President Both Gain"	"1186 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"41"	"By RUKMINI CALLIMACHI and ANDREW HIGGINS; Laure Fourquet contributed reporting."	"January 12, 2015 Monday"	NA	"Video Shows a Paris Gunman Declaring His Loyalty to the Islamic State"	"1097 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"42"	"By THE NEW YORK TIMES; Reporting was contributed by Aurelien Breeden, Emma G. Fitzsimmons, Laure Fourquet, Ravi Somaiya and Ashley Southall."	"January 12, 2015 Monday"	NA	"Victims of the Terror Attacks in Paris"	"1583 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"43"	"MARK SCOTT"	"January 12, 2015 Monday"	NA	"British Prime Minister Suggests Banning Some Online Messaging Apps"	"532 words"	"The New York Times Blogs(Bits)"	"TECHNOLOGY"	NA	NA
"44"	"ANDREW C. REVKIN"	"January 12, 2015 Monday"	NA	"Where Terrorism is Normal (Nigeria) and News (France)"	"490 words"	"The New York Times Blogs(Dot Earth)"	"OPINION"	NA	NA
"45"	"By TAHAR BEN JELLOUN. Tahar Ben Jelloun, a winner of the Prix Goncourt, is the author of ''A Palace in the Old Village'' and many other novels. This essay was translated by Linda Coverdale from the French."	"January 13, 2015 Tuesday"	NA	"For French Muslims, a Moment of Truth"	"954 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"46"	"By HELENE COOPER"	"January 13, 2015 Tuesday"	NA	"U.S. Military Social Media Feeds Are Seized by ISIS Sympathizers"	"575 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"47"	"By ERIC SCHMITT and MICHAEL S. SCHMIDT; Liz Alderman contributed reporting from Paris."	"January 13, 2015 Tuesday"	NA	"West Struggles Against Flow to War Zones"	"1414 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"48"	"By DAVID D. KIRKPATRICK; Suliman Ali Zway contributed reporting from Tripoli, Libya."	"January 13, 2015 Tuesday"	NA	"Libyan Militants Aligned With Islamic State Claim Kidnapping of 21 Egyptian Christians"	"627 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"49"	"By ROBERT MACKEY"	"January 13, 2015 Tuesday"	NA	"Murdoch and Fox News Mocked on Twitter for Claims About Muslims"	"1374 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; OPEN SOURCE; Pg. "	NA	NA
"50"	"By ALAN COWELL and MAÏA de la BAUME; Reporting was contributed by Dan Bilefsky, Rukmini Callimachi and Laure Fourquet from Paris; Elisabetta Povoledo from Rome; Palko Karasz and Katrin Bennhold from London; and Melissa Eddy from Berlin."	"January 13, 2015 Tuesday"	NA	"France Deploys Troops to Guard 'Sensitive Sites'"	"1302 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"51"	""	"January 13, 2015 Tuesday"	NA	"The Future of France"	"1100 words"	"The New York Times Blogs(Ross Douthat)"	"OPINION"	NA	NA
"52"	"STEPHEN CROWLEY"	"January 13, 2015 Tuesday"	NA	"First Draft Focus: A Security Visit From the President"	"1 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"53"	"By RICK GLADSTONE and RAVI SOMAIYA"	"January 14, 2015 Wednesday"	NA	"New Charlie Hebdo Cover Creates New Questions for U.S. News Media"	"922 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"54"	"By DAN BILEFSKY; Reporting was contributed by Maïa de la Baume and Alan Cowell from Paris, Kareem Fahim and Merna Thomas from Cairo, and Rick Gladstone and Ravi Somaiya from New York."	"January 14, 2015 Wednesday"	NA	"With New Cover of French Paper, New Set of Fears"	"1504 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"55"	"By THOMAS L. FRIEDMAN"	"January 14, 2015 Wednesday"	NA	"We Need Another Giant Protest"	"857 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 25"	NA	NA
"56"	""	"January 14, 2015 Wednesday"	NA	"Terror in Paris: Saving Freedom Remains the Task"	"1608 words"	"The New York Times"	"Section ; Column 0; Editorial Desk; LETTERS; Pg. "	NA	NA
"57"	"By SHERYL GAY STOLBERG"	"January 14, 2015 Wednesday"	NA	"At 78, an Untamed McCain Savors a New Dream Job in the Senate"	"1372 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 14"	NA	NA
"58"	"By JULIE HIRSCHFELD DAVIS; Ashley Parker contributed reporting."	"January 14, 2015 Wednesday"	NA	"Obama and Republicans State Cases on ISIS Effort"	"600 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 16"	NA	NA
"59"	"By ANNE BARNARD; Hwaida Saad and Mohammad Ghannam contributed reporting."	"January 14, 2015 Wednesday"	NA	"Syria Peace Hopes Dim Further as Opposition Rejects Moscow Talks"	"743 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"60"	"THE NEW YORK TIMES"	"January 14, 2015 Wednesday"	NA	"Today in Politics"	"1706 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"61"	"ANDREW ROSENTHAL"	"January 14, 2015 Wednesday"	NA	"Rationale for Another Romney Candidacy: He Would've Prevented ISIS"	"497 words"	"The New York Times Blogs(Taking Note)"	"OPINION"	NA	NA
