"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"26"	""	"March 24, 2016 Thursday"	NA	"Quotation of the Day"	"45 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 2"	NA	NA
"27"	"By THE EDITORIAL BOARD"	"March 24, 2016 Thursday"	NA	"Steps That Europe Must Take Now"	"592 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 26"	NA	NA
"28"	"By ALISSA J. RUBIN, KIMIKO DE FREYTAS-TAMURA and AURELIEN BREEDEN; Reporting was contributed by C. J. Chivers in the United States; Dan Bilefsky and James Kanter from Brussels; Lilia Blaise and Benoît Morenne from Paris; Ceylan Yeginsu from Istanbul; and Rukmini Callimachi and Rick Gladstone from New York."	"March 24, 2016 Thursday"	NA	"Belgian Brothers Named in Attacks; 3rd Man Is Hunted"	"1363 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"29"	"By AMY CHOZICK and DAVID E. SANGER"	"March 24, 2016 Thursday"	NA	"Clinton Dismisses Rivals for 'Reckless Actions' in Foreign Policy"	"1230 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; FIRST DRAFT; Pg. 1"	NA	NA
"30"	"By MATT FLEGENHEIMER and MAGGIE HABERMAN; Jonathan Martin contributed reporting."	"March 24, 2016 Thursday"	NA	"Cruz, a Day After Attacks in Brussels, Belittles Trump on Foreign Policy"	"974 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 19"	NA	NA
"31"	"By ADAM NOSSITER; Alison Smale and Melissa Eddy contributed reporting from Berlin."	"March 24, 2016 Thursday"	NA	"Europe's Intelligence Stalls at the Borders"	"1237 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"32"	"By MARK LANDLER"	"March 24, 2016 Thursday"	NA	"Global Crises Overshadow Another Trip"	"888 words"	"The New York Times"	"Section A; Column 0; Business/Financial Desk; Pg. 10"	NA	NA
"33"	"By THE EDITORIAL BOARD"	"March 24, 2016 Thursday"	NA	"Counterterrorism Plans on the Stump"	"578 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 26"	NA	NA
"34"	"By LIZ ROBBINS"	"March 24, 2016 Thursday"	NA	"Muslims in New York Area Reject Cruz's Prescriptions"	"769 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 22"	NA	NA
"35"	""	"March 25, 2016 Friday"	NA	"To Help Defeat ISIS, End the War in Syria"	"174 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTER; Pg. 24"	NA	NA
"36"	"By ALISSA J. RUBIN and RICK GLADSTONE; Alissa J. Rubin reported from Brussels, and Rick Gladstone from New York. Reporting was contributed by Lilia Blaise and Aurelien Breeden from Brussels, Milan Schreuer from Paris, Sewell Chan from London and Rukmini Callimachi from New York."	"March 25, 2016 Friday"	NA	"Belgium Admits Lapses Before Brussels Attacks"	"1474 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"37"	"By REUTERS"	"March 25, 2016 Friday"	NA	"Asia; Malaysia: 15 Arrested in ISIS Inquiry"	"99 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; WORLD BRIEFING; Pg. 8"	NA	NA
"38"	"By FARAH NAYERI"	"March 25, 2016 Friday"	NA	"Contrasting Realities in Middle East Art and Culture"	"1033 words"	"The New York Times"	"Section ; Column 0; The Arts/Cultural Desk; ART FOR TOMORROW; Pg. "	NA	NA
"39"	"Compiled by ROSALIE HUGHES and ANNA POLONYI"	"March 25, 2016 Friday"	NA	"Voices: Where Art Meets Technology"	"382 words"	"The New York Times"	"Section ; Column 0; The Arts/Cultural Desk; ART FOR TOMORROW; Pg. "	NA	NA
"40"	"By TIM ARANGO; Falih Hassan contributed reporting from Baghdad."	"March 25, 2016 Friday"	NA	"Iraq Retakes ISIS-Held Villages Outside Occupied City of Mosul"	"471 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"41"	"By MARLISE SIMONS; Nick Cumming-Bruce contributed reporting from Geneva."	"March 25, 2016 Friday"	NA	"Bosnian Serb Leader Karadzic Convicted of Genocide and War Crimes"	"1318 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"42"	"By AURELIEN BREEDEN"	"March 25, 2016 Friday"	NA	"France Arrests Citizen Tied to Terrorist Plot in 'Advanced Stages'"	"400 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"43"	"By ADAM NOSSITER; Aurelien Breeden contributed reporting."	"March 25, 2016 Friday"	NA	"Experts Question Whether Paris Terror Suspect Will Provide Any Answers"	"893 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; SEEKING INTELLIGENCE; Pg. 11"	NA	NA
"44"	"By DAN BILEFSKY"	"March 25, 2016 Friday"	NA	"In a Country of Divisions, Patriotism Is Subdued"	"1242 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"45"	"By ALAN RAPPEPORT"	"March 25, 2016 Friday"	NA	"Feeling G.O.P. Peril, Muslims Try to Get Out Vote"	"943 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 19"	NA	NA
"46"	"By ANNE BARNARD; Hwaida Saad contributed reporting from Beirut, and Maher Samaan from Paris."	"March 25, 2016 Friday"	NA	"Syrian Forces and ISIS Clash at Edge of Ancient Palmyra"	"1016 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"47"	"By MAHER SATTAR; Ellen Barry contributed reporting from New Delhi."	"March 26, 2016 Saturday"	NA	"A Revived Challenge to Islam as Bangladesh's State Religion Goes to Court"	"708 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"48"	"By OMAR AL-JAWOSHY; An employee of The New York Times contributed reporting from Hilla, Iraq."	"March 26, 2016 Saturday"	NA	"ISIS Suicide Bomber in Iraq Kills at Least 31 at a Shiite Militia's Soccer Game"	"319 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"49"	"By ALISSA J. RUBIN and MILAN SCHREUER; Alissa J. Rubin reported from Brussels, and Milan Schreuer from Paris."	"March 26, 2016 Saturday"	NA	"Belgium Fears Nuclear Plants Are Vulnerable"	"1365 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; SECURITY RISK; Pg. 1"	NA	NA
"50"	"By HWAIDA SAAD"	"March 26, 2016 Saturday"	NA	"Syrian Army Said to Be Closer to Retaking Palmyra"	"324 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"51"	"By CEYLAN YEGINSU; Tim Arango contributed reporting."	"March 26, 2016 Saturday"	NA	"Turkey Closes Journalists' Espionage Trial to Public, Drawing More Criticism"	"1083 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 7"	NA	NA
"52"	"By SEWELL CHAN"	"March 26, 2016 Saturday"	NA	"John Kerry, in Brussels, Says ISIS Is Faltering in Mideast"	"584 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"53"	"By MICHAEL S. SCHMIDT and MARK MAZZETTI; Matthew Rosenberg and Eric Schmitt contributed reporting from Washington, and Sewell Chan from London."	"March 26, 2016 Saturday"	NA	"Key Commander of ISIS Is Killed by U.S. Forces"	"1276 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"54"	"By THE EDITORIAL BOARD"	"March 26, 2016 Saturday"	NA	"Time to Rethink Relations With Egypt"	"634 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 18"	NA	NA
"55"	"By ANNE BARNARD; Hwaida Saad contributed reporting from Beirut, and an employee of The New York Times from Damascus, Syria."	"March 26, 2016 Saturday"	NA	"Stubbornly Confident, Assad Emerges as a Survivor Adept at Juggling Allies"	"1637 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"56"	"By LILIA BLAISE and AURELIEN BREEDEN; Lilia Blaise reported from Brussels, and Aurelien Breeden from Paris. Reporting was contributed by Kimiko de Freytas-Tamura from Brussels, Melissa Eddy and Alison Smale from Berlin, Benoît Morenne from Paris, Sewell Chan from London, Eric Schmitt from Washington, and Rukmini Callimachi, Neil Collier and Rick Gladstone from New York."	"March 26, 2016 Saturday"	NA	"Sweep Leads to 5 Arrests, a Foiled Plot and a Paris-Brussels Connection"	"1417 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"57"	"By ANDREW HIGGINS and KIMIKO DE FREYTAS-TAMURA"	"March 27, 2016 Sunday"	NA	"In Belgian Plot, a Trail of Dots Not Connected"	"1864 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"58"	"By PAMELA DRUCKERMAN. Pamela Druckerman is the author of ''Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting'' and a contributing opinion writer."	"March 27, 2016 Sunday"	NA	"Je Suis Sick of This"	"1384 words"	"The New York Times"	"Section SR; Column 0; Sunday Review Desk; CONTRIBUTING OP-ED WRITER; Pg. 1"	NA	NA
"59"	"By LARRY BUCHANAN and HAEYOUN PARK"	"March 27, 2016 Sunday"	NA	"Uncovering the Links Between the Brusses and Paris Attackers"	"386 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"60"	""	"March 27, 2016 Sunday"	NA	""	"1 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; ADVANCING ON PALMYRA; Pg. 9"	NA	NA
"61"	"By AMY CHOZICK; Yamiche Alcindor and Kristen Millares Young contributed reporting."	"March 27, 2016 Sunday"	NA	"2 States in West Propel Sanders in Caucus Wins"	"1343 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"62"	"By MAUREEN DOWD"	"March 27, 2016 Sunday"	NA	"Obama's Last Tango"	"962 words"	"The New York Times"	"Section SR; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 11"	NA	NA
"63"	"By THE NEW YORK TIMES"	"March 27, 2016 Sunday"	NA	"Highlights From Our Interview With Donald Trump on Foreign Policy"	"1196 words"	"The New York Times"	"Section ; Column 0; Politics; Pg. "	NA	NA
"64"	"By LIZ ALDERMAN; Dimitris Bounias contributed reporting."	"March 27, 2016 Sunday"	NA	"Shut Out of Germany, Refugees Look to E.U. Program for Next Step"	"1280 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"65"	""	"March 27, 2016 Sunday"	NA	"Who Has the Candidate's Ear?"	"767 words"	"The New York Times"	"Section SR; Column 0; Editorial Desk; EDITORIAL; Pg. 10"	NA	NA
"66"	"By LORNE MANLY"	"March 27, 2016 Sunday"	NA	"When Losing Faith Means Losing Love"	"1179 words"	"The New York Times"	"Section AR; Column 0; Arts and Leisure Desk; Pg. 17"	NA	NA
"67"	""	"March 27, 2016 Sunday"	NA	"Transcript: Donald Trump Expounds on His Foreign Policy Views"	"14336 words"	"The New York Times"	"Section ; Column 0; Politics; Pg. "	NA	NA
"68"	"By DAVID E. SANGER and MAGGIE HABERMAN"	"March 27, 2016 Sunday"	NA	"Foreign Policy, in Trump's View, Is About Deals"	"1860 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"69"	"By SALEEM AL JUBOURI. Saleem Al Jubouri is the speaker of Iraq's Parliament."	"March 28, 2016 Monday"	NA	"Keep the Militias Out of Mosul"	"821 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"70"	""	"March 28, 2016 Monday"	NA	"A Step Toward Peace"	"52 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 3"	NA	NA
"71"	"By MATT APUZZO"	"March 28, 2016 Monday"	NA	"No Clear Signs on Who Might Be Radicalized"	"1775 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"72"	"By JOSHUA BARONE"	"March 28, 2016 Monday"	NA	"What to Watch Monday"	"520 words"	"The New York Times"	"Section C; Column 0; The Arts/Cultural Desk; Pg. 7"	NA	NA
"73"	"By JIM RUTENBERG"	"March 28, 2016 Monday"	NA	"Victory Lap and Wink, as 2 Presidents Meet"	"1467 words"	"The New York Times"	"Section B; Column 0; Business/Financial Desk; MEDIATOR; Pg. 1"	NA	NA
"74"	"By HWAIDA SAAD and KAREEM FAHIM; Hwaida Saad reported from Beirut, and Kareem Fahim from Cairo. Maher Samaan contributed reporting from Paris, and Anne Barnard from New York."	"March 28, 2016 Monday"	NA	"Syrian Army Claims It Fully Recaptured Historic Palmyra From ISIS"	"1089 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"75"	"By TASH AW. Tash Aw is the author of three novels, including, most recently, ''Five Star Billionaire,'' and a contributing opinion writer."	"March 29, 2016 Tuesday"	NA	"Malaysia's Immigrant Worker Debate"	"973 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"76"	"By ANDREW HIGGINS and KIMIKO DE FREYTAS-TAMURA; Aurelien Breeden contributed reporting from Paris."	"March 29, 2016 Tuesday"	NA	"Man Arrested as 'Third Bomber' in Brussels Attack Is Freed; Hunt Is Renewed"	"1133 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"77"	"By RICK GLADSTONE"	"March 29, 2016 Tuesday"	NA	"Saudis Swap Prisoners With Houthi Rebels Ahead of Cease-Fire in Yemen"	"449 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"78"	"By RUKMINI CALLIMACHI; Reporting was contributed by David E. Sanger and Eric Schmitt from Washington, Laure Fourquet and Aurelien Breeden from Paris, Katrin Bennhold from London, Andrew Higgins from Brussels, and Runa Sandvik from New York. Alain Delaquérière and Karen Yourish contributed research."	"March 29, 2016 Tuesday"	NA	"Long Before Brussels, ISIS Sent Terror Operatives to Europe"	"5060 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"79"	"By STEPHEN FARRELL"	"March 29, 2016 Tuesday"	NA	"If All Else Fails, 3D Models and Robots Might Rebuild Sites"	"381 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"80"	"By KAREEM FAHIM; Sarah Almukhtar contributed reporting from New York."	"March 29, 2016 Tuesday"	NA	"Scenes From Palmyra Indicate ISIS Slowed Assault on Treasures"	"781 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"81"	"By THE EDITORIAL BOARD"	"March 29, 2016 Tuesday"	NA	"Dangerous Babble on Foreign Policy"	"682 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 24"	NA	NA
