"�.�BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"20"	"By ADAM NOSSITER and RICK GLADSTONE; Adam Nossiter reported from Paris, and Rick Gladstone from New York. Reporting was contributed by Aurelien Breeden, Liz Alderman, Marlise Simons, Nicola Clark and Mary Ann Giordano from Paris; Melissa Eddy from Berlin; Sewell Chan from London; and Gardiner Harris, Eric Schmitt Matt Apuzzo and Michael S. Schmidt from Washington."	"November 14, 2015 Saturday"	NA	"Series of Shootings and Blasts, Apparently Coordinated"	"1189 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"21"	"By MICHAEL R. GORDON and RUKMINI CALLIMACHI"	"November 14, 2015 Saturday"	NA	"Groups of Rival Fighters Join to Retake Iraqi City Brutally Controlled by ISIS"	"1276 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"22"	""	"November 14, 2015 Saturday"	NA	"Syria Talks: What Countries Want"	"819 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"23"	""	"November 15, 2015 Sunday"	NA	"After the Carnage in Paris"	"978 words"	"The New York Times"	"Section ; Column 0; Editorial Desk; LETTERS; Pg. "	NA	NA
"24"	"By ANNE BARNARD; Hwaida Saad and Maher Samaan contributed reporting."	"November 15, 2015 Sunday"	NA	"In Lebanon, Refugee Crisis Hides in Plain Sight"	"1342 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"25"	"By PATRICK HEALY; Matt Flegenheimer, Thomas Kaplan and Jeremy W. Peters contributed reporting."	"November 15, 2015 Sunday"	NA	"New Outbreak of Violence Alters Political Discourse"	"1269 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 29"	NA	NA
"26"	"By AMY CHOZICK and JONATHAN MARTIN; Trip Gabriel contributed reporting."	"November 15, 2015 Sunday"	NA	"Rivals at Debate Attack Clinton on Foreign Policy and Financial Ties"	"1554 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 29"	NA	NA
"27"	"By JULIE HIRSCHFELD DAVIS"	"November 15, 2015 Sunday"	NA	"Talks on Syrian Truce and Transition Take On New Urgency After Attacks"	"886 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 19"	NA	NA
"28"	"By DAVID D. KIRKPATRICK; Merna Thomas contributed reporting from Cairo, and Kareem Fahim from Sharm el Sheikh, Egypt."	"November 15, 2015 Sunday"	NA	"Egypt Leans On a Familiar Foe: Conspiracy"	"1411 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"29"	"By BENJAMIN MUELLER and MICHAEL S. SCHMIDT; Edna Ishayik, Nate Schweber, John Surico and Alex Vadukul contributed reporting from New York. Emmarie Huetteman contributed reporting from Washington."	"November 15, 2015 Sunday"	NA	"A Day After Attacks, Familiar Fear Grips a Wary New York"	"1411 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 14"	NA	NA
"30"	"By ALISSA J. RUBIN"	"November 15, 2015 Sunday"	NA	"Gunmen Single Out Hollande, and Leave Him With Few Palatable Responses"	"1113 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; THE PRESIDENT; Pg. 17"	NA	NA
"31"	"By RUKMINI CALLIMACHI"	"November 15, 2015 Sunday"	NA	"ISIS Calls Bloodshed 'First of the Storm'"	"619 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"32"	"By MICHAEL R. GORDON"	"November 15, 2015 Sunday"	NA	"Kurds Investigate Reports of Mass Grave of Yazidis in Sinjar"	"168 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"33"	"By ERIC SCHMITT"	"November 15, 2015 Sunday"	NA	"ISIS Leader in Libya Is Targeted in U.S. Airstrike"	"255 words"	"The New York Times"	"Section ; Column 0; Washington; Pg. "	NA	NA
"34"	"By ALISON SMALE and RICK LYMAN; Alison Smale reported from Berlin, and Rick Lyman from Warsaw. Melissa Eddy contributed reporting from Berlin; Miroslava Germanova from Bratislava, Slovakia; Aurelien Breeden from Paris; and Richard Martyn-Hemphill from Riga, Latvia."	"November 15, 2015 Sunday"	NA	"Brand-New Fright as Europe Strains With Migrant Tide"	"1229 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"35"	"By ERIC SCHMITT and DAVID D. KIRKPATRICK; Eric Schmitt reported from Washington and David D. Kirkpatrick from London. Katrin Bennhold and Adam Nossiter contributed reporting from Paris."	"November 15, 2015 Sunday"	NA	"Strategy Shift for ISIS: Inflicting Terror in Distant Lands"	"1350 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"36"	"By ADAM NOSSITER, AURELIEN BREEDEN and KATRIN BENNHOLD; Adam Nossiter and Aurelien Breeden reported from Paris, and Katrin Bennhold from London. Reporting was contributed by Lilia Blaise, Nicola Clark, Rachel Donadio, Rosalie Hughes, David Jolly and Alissa J. Rubin from Paris; Melissa Eddy from Berlin; Julie Carriat from Brussels; Palko Karasz from London; Rukmini Callimachi from Sinone, Iraq; Julie Hirschfeld Davis from Vienna; and Matt Apuzzo and Michael Schmidt from Washington."	"November 15, 2015 Sunday"	NA	"Paris Attack Was the Work of 3 Teams, an 'Act of War' by ISIS, France Asserts"	"1684 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"37"	"By MICHAEL D. SHEAR"	"November 15, 2015 Sunday"	NA	"Paris Attacks Overtake Agenda as World Leaders Meet"	"1180 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"38"	"By ANDREW HIGGINS and MILAN SCHREUER; Reporting was contributed by Liz Alderman, Lilia Blaise, Dan Bilefsky, Sam Borden, Aurelien Breeden, Nicola Clark and Rachel Donadio."	"November 15, 2015 Sunday"	NA	"'They Did Not Give Anybody a Chance'"	"1458 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"39"	"By MICHAEL R. GORDON"	"November 15, 2015 Sunday"	NA	"Kurds in Iraq Face Fast and Erratic Threat in ISIS Suicide Drivers"	"883 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"40"	"By PETER BAKER and ERIC SCHMITT"	"November 15, 2015 Sunday"	NA	"Attacks May Prompt Hardening of U.S. Strategy on ISIS"	"1394 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; NEWS ANALYSIS; Pg. 18"	NA	NA
"41"	"By KATHRYN SHATTUCK"	"November 15, 2015 Sunday"	NA	"Television; The Ugly Side of Pretty Things"	"193 words"	"The New York Times"	"Section AR; Column 0; Arts and Leisure Desk; Pg. 6"	NA	NA
"42"	"By ALEX HAWGOOD"	"November 15, 2015 Sunday"	NA	"Taking Stereotypes for a Joy Ride"	"440 words"	"The New York Times"	"Section ST; Column 0; Style Desk; UP NEXT; Pg. 8"	NA	NA
"43"	"By MICHAEL R. GORDON"	"November 15, 2015 Sunday"	NA	"Kurds Investigate Reports of Mass Grave of Yazidis in Sinjar"	"168 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"44"	"By JOHN KOBLIN; Emily Steel contributed reporting from Des Moines, Sydney Ember and Ravi Somaiya from New York, and Mark Scott from Rome."	"November 15, 2015 Sunday"	NA	"News Media Scrambles to Cover Paris Shootings"	"953 words"	"The New York Times"	"Section ; Column 0; Business/Financial Desk; Pg. "	NA	NA
"45"	"MATT FLEGENHEIMER"	"November 15, 2015 Sunday"	NA	"Invoking Nazis, Marco Rubio Hits Hillary Clinton for Not Saying U.S. Is at War With 'Radical Islam'"	"291 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"46"	"MATT FLEGENHEIMER"	"November 15, 2015 Sunday"	NA	"'We Should Declare War' in Fight Against Islamic State, Jeb Bush Says"	"331 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"47"	"TRIP GABRIEL"	"November 15, 2015 Sunday"	NA	"Hillary Clinton Takes a More Defined Stance on ISIS"	"785 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"48"	""	"November 16, 2015 Monday"	NA	"Darkness of Terror in the City of Light"	"1101 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 22"	NA	NA
"49"	"By STEVEN SIMON and DANIEL BENJAMIN. Steven Simon and Daniel Benjamin are scholars at Dartmouth College and the authors of ''The Age of Sacred Terror.'' Mr. Simon was the senior director for the Middle East and North Africa at the National Security Council from 2011 to 2012 and Mr. Benjamin served as the coordinator for counterterrorism at the State Department from 2009 to 2012."	"November 16, 2015 Monday"	NA	"Could Paris Happen Here?"	"955 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTORS; Pg. 23"	NA	NA
"50"	"By RICK LYMAN and ALISON SMALE; Rick Lyman reported from Warsaw, and Alison Smale from Berlin. Reporting was contributed by Barbara Sulk in Ljubljana, Slovenia; Kit Gillet in Bucharest, Romania; Hana de Goeij in Prague; Miroslava Germanova in Bratislava, Slovakia; Boryana Dzhambazova in Edirne, Turkey; and Richard Martyn-Hemphill in Riga, Latvia."	"November 16, 2015 Monday"	NA	"Attacks Change Europe's Migrant Focus From Compassion to Security"	"1370 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"51"	"By JONATHAN MARTIN"	"November 16, 2015 Monday"	NA	"In Presidential Campaign, It's Now Terrorism, Not Taxes"	"1359 words"	"The New York Times"	"Section A; Column 0; National Desk; POLITICAL MEMO; Pg. 1"	NA	NA
"52"	"By JIM YARDLEY, KATRIN BENNHOLD, MICHAEL S. SCHMIDT and ADAM NOSSITER; Jim Yardley reported from Paris, Katrin Bennhold from London, Michael S. Schmidt from Washington, and Adam Nossiter from Chartres, France. Reporting was contributed by Eric Schmitt from Washington; Aurelien Breeden from Paris; Kimiko de Freytas-Tamura from Brussels; and Niki Kitsantonis from Athens."	"November 16, 2015 Monday"	NA	"Mounting Clues Point to Brothers and Trip to Syria"	"1749 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"53"	"By PAUL KRUGMAN"	"November 16, 2015 Monday"	NA	"Fearing Fear Itself"	"837 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
"54"	"By ANNE BARNARD; Hwaida Saad contributed reporting."	"November 16, 2015 Monday"	NA	"Beirut, Also the Site of Deadly Attacks, Feels Forgotten"	"1366 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; MEMO FROM LEBANON; Pg. 6"	NA	NA
"55"	"By ALBERT R. HUNT | BLOOMBERG VIEW"	"November 16, 2015 Monday"	NA	"Paris Attacks Pose Test for U.S. Presidential Candidates"	"700 words"	"The New York Times"	"Section ; Column 0; National Desk; LETTER FROM WASHINGTON; Pg. "	NA	NA
"56"	"By THE EDITORIAL BOARD"	"November 16, 2015 Monday"	NA	"What Will Come After Paris"	"749 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 22"	NA	NA
"57"	"By DAN BILEFSKY"	"November 16, 2015 Monday"	NA	"Blocks From Charlie Hebdo, Area Known for Bonhomie Is Shaken Again"	"1072 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"58"	"By ALISSA J. RUBIN and ANNE BARNARD; Alissa J. Rubin reported from Paris and Anne Barnard from Beirut. Aurelien Breeden contributed reporting from Paris, and Eric Schmitt contributed reporting from Washington."	"November 16, 2015 Monday"	NA	"France Strikes ISIS Targets in Syria in Retaliation for Attacks on Paris"	"1282 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"59"	"By MICHAEL D. SHEAR and PETER BAKER; Michael D. Shear reported from Antalya, Turkey, and Peter Baker from Washington. Eric Schmitt contributed reporting from Washington."	"November 16, 2015 Monday"	NA	"Obama Loath to Add Troops to ISIS Fight"	"1433 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"60"	"By MICHAEL D. SHEAR"	"November 16, 2015 Monday"	NA	"Obama and Putin Discuss ISIS and Syria in Informal Conversation"	"402 words"	"The New York Times"	"Section ; Column 0; Washington; Pg. "	NA	NA
"61"	"THE LEARNING NETWORK"	"November 16, 2015 Monday"	NA	"Resources | The Attacks in Paris"	"1449 words"	"The New York Times Blogs(The Learning Network)"	"EDUCATION"	NA	NA
"62"	""	"November 16, 2015 Monday"	NA	"Europe's Darkened Future"	"828 words"	"The New York Times Blogs(Ross Douthat)"	"OPINION"	NA	NA
"63"	"CARL HULSE"	"November 16, 2015 Monday"	NA	"Paris Attacks Could Bolster Congressional Efforts to Block U.S. Refugee Plan"	"291 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"64"	"ALAN RAPPEPORT"	"November 16, 2015 Monday"	NA	"Donald Trump Repeats Call to Inspect Mosques for Signs of Terrorism"	"428 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"65"	"MAGGIE HABERMAN"	"November 16, 2015 Monday"	NA	"Donald Trump Questions Whether Syrian Refugees Are 'Trojan Horse'"	"444 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"66"	"MARGARET SULLIVAN"	"November 16, 2015 Monday"	NA	"Monday Roundup: Paris Praise, Brooks's Trip and Steinem-Ginsburg"	"630 words"	"The New York Times Blogs(The Public Editor's Journal)"	"OPINION"	NA	NA
"67"	""	"November 17, 2015 Tuesday"	NA	"Ways to Respond to the Paris Attacks"	"1008 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 22"	NA	NA
"68"	"By RACHEL DONADIO; Ben Sisario contributed reporting from New York."	"November 17, 2015 Tuesday"	NA	"Before Attack, Paris Concert Hall Had Long History in Music and Politics"	"1236 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"69"	"By DAVID BROOKS"	"November 17, 2015 Tuesday"	NA	"Peace Within the Texts"	"845 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
"70"	"By ANDREW ROSS SORKIN"	"November 17, 2015 Tuesday"	NA	"Fallout From Attacks Is Measured in More Than Stock Markets"	"940 words"	"The New York Times"	"Section B; Column 0; Business/Financial Desk; DEALBOOK; Pg. 1"	NA	NA
"71"	"By JULIE HIRSCHFELD DAVIS"	"November 17, 2015 Tuesday"	NA	"John Kerry Arrives in Paris to Show 'Shared Resolve' After Attacks"	"404 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"72"	"By DAVID E. SANGER and NICOLE PERLROTH; David E. Sanger reported from Washington, and Nicole Perlroth from San Francisco."	"November 17, 2015 Tuesday"	NA	"Encrypted Messaging Apps Face New Scrutiny Over Possible Role in Attacks"	"1299 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; TECHNOLOGY; Pg. 12"	NA	NA
"73"	"By DAVID JOLLY, JACK EWING and DOREEN CARVAJAL; David Jolly and Doreen Carvajal reported from Paris, and Jack Ewing from Frankfurt."	"November 17, 2015 Tuesday"	NA	"The Hidden Costs of Terror"	"1448 words"	"The New York Times"	"Section B; Column 0; Business/Financial Desk; Pg. 1"	NA	NA
"74"	"By CARL HULSE"	"November 17, 2015 Tuesday"	NA	"Parties Split on Response but United Behind France"	"948 words"	"The New York Times"	"Section A; Column 0; National Desk; ON WASHINGTON; Pg. 15"	NA	NA
"75"	"By OLIVIER ROY. Olivier Roy is a professor at the European University Institute in Florence and the author of ''Globalized Islam.''"	"November 17, 2015 Tuesday"	NA	"The Strategic Limits of ISIS"	"1048 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"76"	"By RICK GLADSTONE"	"November 17, 2015 Tuesday"	NA	"World Briefing | Middle East; Iran: Newspaper Cartoonist Is Arrested"	"494 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"77"	"By SYLVIE KAUFFMANN. Sylvie Kauffmann, the editorial director and a former editor in chief of Le Monde, is a contributing opinion writer."	"November 17, 2015 Tuesday"	NA	"France's War Within"	"814 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; CONTRIBUTING OP-ED WRITER; Pg. 23"	NA	NA
"78"	"By MICHAEL R. GORDON"	"November 17, 2015 Tuesday"	NA	"U.S. Airstrikes Destroy Scores of ISIS Oil Trucks in Syria"	"644 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"79"	"By ANDREW HIGGINS, KIMIKO DE FREYTAS-TAMURA and KATRIN BENNHOLD; Andrew Higgins and Kimiko de Freytas-Tamura reported from Brussels, and Katrin Bennhold from London. Milan Schreuer contributed reporting from Brussels."	"November 17, 2015 Tuesday"	NA	"In Neighborhood Known for Extremists, a Trail of Petty Crimes and Missed Plots"	"1831 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; EVASION; Pg. 1"	NA	NA
"80"	"By AURELIEN BREEDEN, KIMIKO DE FREYTAS-TAMURA and KATRIN BENNHOLD; Aurelien Breeden reported from Paris, Kimiko de Freytas-Tamura from Brussels and Katrin Bennhold from London. Reporting was contributed by Julie Carriat, Andrew Higgins, James Kanter and Milan Schreuer from Brussels; Lilia Blaise, Elian Peltier and Rukmini Callimachi from Paris; Stephen Castle, Palko Karasz and Madeleine Kruhly from London; Mark Mazzetti and Eric Schmitt from Washington; Michael D. Shear and Ceylan Yeginsu from Antalya, Turkey; and Somini Sengupta from the United Nations."	"November 17, 2015 Tuesday"	NA	"Call to Arms in France Amid Raid and Hunt for Belgian Suspect in Attacks"	"1711 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"81"	"By MICHAEL D. SHEAR and PETER BAKER; Michael D. Shear reported from Antalya, and Peter Baker from Washington."	"November 17, 2015 Tuesday"	NA	"Obama Says Strategy Against Militants Will Work"	"1207 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"82"	"By PATRICK HEALY and JULIE BOSMAN; Reporting was contributed by Matt Flegenheimer, Trip Gabriel, Julia Preston, Katharine Q. Seelye and Jeremy W. Peters."	"November 17, 2015 Tuesday"	NA	"G.O.P. Governors Vow to Close Doors to Syrian Refugees"	"1608 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"83"	"By OLIVIER ROY. Olivier Roy est Professeur à l'Institut Universitaire Européen de Florence et l'auteur de ''La Sainte Ignorance.''"	"November 17, 2015 Tuesday"	NA	"Les attentats à Paris révèlent les limites de Daesh"	"1148 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"84"	"By RUSSELL GOLDMAN and KAREN YOURISH"	"November 17, 2015 Tuesday"	NA	"Where ISIS Claims It Has Struck, and Why"	"633 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"85"	"By SCOTT SHANE; Alison Smale contributed reporting from Berlin."	"November 17, 2015 Tuesday"	NA	"Gloves Off, Director of the C.I.A. Faults Surveillance Curbs"	"1105 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"86"	"By THE EDITORIAL BOARD"	"November 17, 2015 Tuesday"	NA	"After Paris Attacks, Vilifying Refugees"	"597 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 22"	NA	NA
"87"	"By KATHRYN SHATTUCK"	"November 17, 2015 Tuesday"	NA	"What to Watch Tuesday"	"472 words"	"The New York Times"	"Section C; Column 0; The Arts/Cultural Desk; Pg. 7"	NA	NA
"88"	"By DAN BILEFSKY"	"November 17, 2015 Tuesday"	NA	"Waiter Is Remembered as Bon Vivant With Sharp Wit and Wry Sense of Humor"	"965 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"89"	"THE NEW YORK TIMES"	"November 17, 2015 Tuesday"	NA	"What We're Reading: Special Edition"	"457 words"	"The New York Times Blogs(News)"	""	NA	NA
"90"	"RANDY KENNEDY"	"November 17, 2015 Tuesday"	NA	"International Center of Photography Gets Grant from Mellon Foundation"	"261 words"	"The New York Times Blogs(ArtsBeat)"	"ARTS"	NA	NA
"91"	"ERNESTO LONDOñO"	"November 17, 2015 Tuesday"	NA	"The Vile Politics of the Syrian Refugee Crisis [UPDATED]"	"462 words"	"The New York Times Blogs(Taking Note)"	"OPINION"	NA	NA
"92"	"ELIZABETH WILLIAMSON"	"November 17, 2015 Tuesday"	NA	"Let's Kick 'Boots on the Ground' to the Curb"	"621 words"	"The New York Times Blogs(Taking Note)"	"OPINION"	NA	NA
"93"	"ALAN RAPPEPORT"	"November 17, 2015 Tuesday"	NA	"John Kasich Urges Obama to Not Accept Syrian Refugees, For Now"	"456 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"94"	"PATRICK D. HEALY"	"November 17, 2015 Tuesday"	NA	"On Invading Iraq, Bernie Sanders Takes a Cue From Howard Dean"	"541 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"95"	""	"November 18, 2015 Wednesday"	NA	"Paris Aftermath: American Responses"	"629 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 26"	NA	NA
"96"	"By ANDREW HIGGINS and KIMIKO DE FREYTAS-TAMURA; Rukmini Callimachi and Milan Schreuer contributed reporting."	"November 18, 2015 Wednesday"	NA	"An ISIS Fighter With Family in Belgium Who Wanted Him Dead"	"1446 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; THE CHIEF SUSPECT; Pg. 13"	NA	NA
"97"	"By JIM DWYER. Email: dwyer@nytimes.com Twitter: @jimdwyernyt"	"November 18, 2015 Wednesday"	NA	"A Hardware Store Welcomes Refugees as Governors Vow to Shut Them Out"	"768 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; ABOUT NEW YORK; Pg. 21"	NA	NA
"98"	"By RANDY KENNEDY"	"November 18, 2015 Wednesday"	NA	"Mellon Foundation Grant for Photography Center"	"278 words"	"The New York Times"	"Section C; Column 0; The Arts/Cultural Desk; ARTSBEAT; Pg. 3"	NA	NA
