"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"11"	"By ALAN RAPPEPORT"	"July 16, 2016 Saturday"	NA	"Newt Gingrich Echoes Donald Trump With Remarks on Muslims and Terrorism"	"535 words"	"The New York Times"	"Section ; Column 0; Politics; Pg. "	NA	NA
"12"	"By DAVID E. SANGER"	"July 16, 2016 Saturday"	NA	"U.S. Finds Itself on Shakier Ground as an Ally Confronts a Mutiny"	"1159 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; NEWS ANALYSIS; Pg. 6"	NA	NA
"13"	"By GARDINER HARRIS"	"July 16, 2016 Saturday"	NA	"U.S. and Russia Agree on Steps to Combat ISIS in Syria"	"1121 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 3"	NA	NA
"14"	"By CORINNA da FONSECA-WOLLHEIM"	"July 16, 2016 Saturday"	NA	"That Overture Sounds So Familiar"	"822 words"	"The New York Times"	"Section C; Column 0; The Arts/Cultural Desk; CRITIC'S NOTEBOOK; Pg. 3"	NA	NA
"15"	"By THE EDITORIAL BOARD"	"July 16, 2016 Saturday"	NA	"Our Best Defense Against Terrorists"	"649 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 20"	NA	NA
"16"	"By ADAM NOSSITER; Dan Bilefsky contributed reporting from London."	"July 16, 2016 Saturday"	NA	"In France, the Mood Darkens as a Harsh Reality on Terrorism Sets In"	"1552 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"17"	"By RUKMINI CALLIMACHI"	"July 16, 2016 Saturday"	NA	"Rolling Mainstay of Commerce, Reinvented as a Tool of Death"	"1150 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"18"	"By TIM ARANGO and CEYLAN YEGINSU; Reporting was contributed by Safak Timur from Istanbul, Sabrina Tavernise and Michael S. Schmidt from Washington, and Rick Gladstone from New York."	"July 16, 2016 Saturday"	NA	"Turkey Is Battlefield in a Coup Attempt"	"1662 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"19"	""	"July 16, 2016 Saturday"	NA	"Tumult in Turkey: The Key Players"	"459 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"20"	"By PATRICK HEALY and HELENE COOPER"	"July 16, 2016 Saturday"	NA	"France in Mind, Trump Adopts Warlike Stance"	"1281 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"21"	"By MAX FISHER. Follow @Max_Fisher on Twitter."	"July 16, 2016 Saturday"	NA	"Terror's New Form: A Threat That Can Be Managed but Not Erased"	"1420 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; THE INTERPRETER; Pg. 8"	NA	NA
"22"	"By ANDREW HIGGINS; Reporting was contributed by Alissa J. Rubin and Lilia Blaise from Nice, Aurelien Breeden and Adam Nossiter from Paris, and Dan Bilefsky and Kimiko de Freytas-Tamura from London."	"July 16, 2016 Saturday"	NA	"In France, 'Classic Delinquent' With No Known Ties to Terrorism"	"1817 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"23"	"By TIM ARANGO and CEYLAN YEGINSU; Safak Timur and Karam Shoumali contributed reporting."	"July 17, 2016 Sunday"	NA	"Turkey Cracks Down as Coup Unravels"	"2055 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"24"	"By MAUREEN DOWD"	"July 17, 2016 Sunday"	NA	"W., Borne Back Ceaselessly"	"866 words"	"The New York Times"	"Section SR; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 13"	NA	NA
"25"	"By ALISON SMALE and STEPHEN CASTLE; Alison Smale reported from Berlin, and Stephen Castle from London. Joanna Berendt contributed reporting from Warsaw.. Follow Alison Smale @asmalenyt and Stephen Castle @_StephenCastle on Twitter."	"July 17, 2016 Sunday"	NA	"Attack Builds Political Power of Anti-Immigrant Movements in Europe"	"1236 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"26"	"By NOAH FELDMAN. Noah Feldman is a professor of law at Harvard and a columnist for Bloomberg View."	"July 17, 2016 Sunday"	NA	"What Shariah Is (and Isn't)"	"999 words"	"The New York Times"	"Section SR; Column 0; Sunday Review Desk; OPINION; Pg. 3"	NA	NA
"27"	"By ALISSA J. RUBIN and AURELIEN BREEDEN; Alissa J. Rubin reported from Nice, and Aurelien Breeden from Paris. Reporting was contributed by Lilia Blaise from Nice, Rukmini Callimachi from New York, Benoît Morenne from Paris, and Nour Youssef from Cairo.. Follow Alissa J. Rubin @Alissanyt and Aurelien Breeden @aurelienbrd on Twitter."	"July 17, 2016 Sunday"	NA	"Islamic State Claims Responsibility for Terrorist Attack in Nice"	"1497 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"28"	"By STEPHANIE SAUL"	"July 17, 2016 Sunday"	NA	"Exiled Cleric Denies Leading Coup Effort"	"626 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"29"	"By ALISSA J. RUBIN and LILIA BLAISE"	"July 17, 2016 Sunday"	NA	"Terror in Nice, Through Eyes of Innocents"	"1353 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"30"	"By JAY CASPIAN KANG. Jay Caspian Kang is a writer at large for the magazine."	"July 17, 2016 Sunday"	NA	"The Dark Side of American Soccer Culture"	"1550 words"	"The New York Times"	"Section MM; Column 0; Magazine Desk; ON SPORTS; Pg. 16"	NA	NA
"31"	"By ROBERT DRAPER. Robert Draper is a contributing writer for the magazine. He last wrote about Donald Trump's primary campaign."	"July 17, 2016 Sunday"	NA	"The Trump Trap"	"4569 words"	"The New York Times"	"Section MM; Column 0; Magazine Desk; FEATURE; Pg. 45"	NA	NA
"32"	"By ERIC SCHMITT and DAN BILEFSKY; Eric Schmitt reported from Washington, and Dan Bilefsky from London."	"July 17, 2016 Sunday"	NA	"Authorities Interrupt Missions Against ISIS at a Major Air Base"	"1404 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"33"	"By ANDREW HIGGINS"	"July 17, 2016 Sunday"	NA	"France Debates Whether Truck Assault Could Have Been Stopped"	"1254 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"34"	"By BROOK WILENSKY-LANFORD. Brook Wilensky-Lanford is the author of ''Paradise Lust: Searching for the Garden of Eden'' and editor of Killing the Buddha, an online magazine of religion, culture and politics."	"July 17, 2016 Sunday"	NA	"Religion"	"944 words"	"The New York Times"	"Section BR; Column 0; Book Review Desk; THE SHORTLIST; Pg. 26"	NA	NA
"35"	"By TIM ARANGO and CEYLAN YEGINSU; Reporting was contributed by Safak Timur from Istanbul, Melissa Eddy from Berlin, Gardiner Harris from Luxembourg, and Eric Schmitt from Washington."	"July 17, 2016 Sunday"	NA	"Government, Moving Swiftly, Rounds Up Thousands of Military Personnel"	"1241 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
"36"	"By SHIVANI VORA"	"July 17, 2016 Sunday"	NA	"Turkey Takes the Long View on Tourism"	"1101 words"	"The New York Times"	"Section TR; Column 0; Travel Desk; UPDATE; Pg. 5"	NA	NA
"37"	"By THE NEW YORK TIMES"	"July 17, 2016 Sunday"	NA	"Tumult in Turkey: What We Know and Don't Know"	"788 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"38"	"By ALEXANDER BURNS; Nick Corasaniti contributed reporting."	"July 18, 2016 Monday"	NA	"On Eve of G.O.P. Convention, Law and Order Takes the Floor"	"1274 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"39"	"By TIM ARANGO and CEYLAN YEGINSU; Karam Shoumali contributed reporting from Istanbul, and Niki Kitsantonis from Athens.. Follow Tim Arango on Twitter @tarangoNYT.Follow Ceylan Yeginsu on Twitter @CeylanWrites."	"July 18, 2016 Monday"	NA	"Erdogan Triumphs, but Turkey's Fate Is Unclear"	"1319 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"40"	"By AURELIEN BREEDEN. Follow Aurelien Breeden on Twitter @aurelienbrd."	"July 18, 2016 Monday"	NA	"3 More Reported Held in French Truck Attack,Bringing the Total to 7"	"653 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"41"	"By THE NEW YORK TIMES"	"July 18, 2016 Monday"	NA	"Turkey Allows Resumption of U.S. Missions From Incirlik Air Base"	"275 words"	"The New York Times"	"Section ; Column 0; Washington; Pg. "	NA	NA
"42"	"By THE EDITORIAL BOARD"	"July 18, 2016 Monday"	NA	"The Countercoup in Turkey"	"705 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 24"	NA	NA
"43"	"By MARK MAZZETTI and ERIC SCHMITT"	"July 18, 2016 Monday"	NA	"Which Attackers Are 'Terrorists'?"	"1293 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"44"	"By ALISSA J. RUBIN and AURELIEN BREEDEN; Benoît Morenne contributed reporting.. Follow Aurelien Breeden on Twitter @aurelienbrd."	"July 19, 2016 Tuesday"	NA	"Moment of Silence Turns Into Outcry Against Government After Nice Attack"	"1475 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"45"	"By MICHAEL D. SHEAR and DAVID E. SANGER"	"July 19, 2016 Tuesday"	NA	"Republican Convention Speeches on Day 1: What You Missed and Our Fact Checks"	"970 words"	"The New York Times"	"Section ; Column 0; Politics; Pg. "	NA	NA
"46"	"By ISABEL KERSHNER and JAMES GLANZ; Benedict Carey contributed reporting from New York."	"July 19, 2016 Tuesday"	NA	"To France From Israel: How to Live With Terror"	"1347 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"47"	"By TIM ARANGO; Ceylan Yeginsu and Safak Timur contributed reporting."	"July 19, 2016 Tuesday"	NA	"In Istanbul, Optimism Fades to Melancholy"	"1788 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"48"	"By ANDREW E. KRAMER. Follow Andrew Kramer on Twitter @AndrewKramerNYT."	"July 19, 2016 Tuesday"	NA	"Gunman Attacks Police in Kazakhstan, Killing 5"	"352 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"49"	"By TIM ARANGO, CEYLAN YEGINSU and BEN HUBBARD; Gardiner Harris contributed reporting from Brussels.. Follow Tim Arango @tarangoNYT, Ceylan Yeginsu @CeylanWrites and Ben Hubbard @NYTBen on Twitter."	"July 19, 2016 Tuesday"	NA	"Vast Purge in Turkey as Thousands Are Detained"	"1297 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"50"	"By ELLEN BARRY and MAHER SATTAR. Follow Ellen Barry on Twitter @EllenBarryNYT ."	"July 20, 2016 Wednesday"	NA	"Bangladesh in Urgent Hunt to Root Out Recruiters for Islamic State"	"1419 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 7"	NA	NA
"51"	"By AMY CHOZICK"	"July 20, 2016 Wednesday"	NA	"Clinton Said to Focus on National Security in Running Mate Pick"	"1148 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 13"	NA	NA
"52"	"By GARDINER HARRIS"	"July 20, 2016 Wednesday"	NA	"Unapologetic Foreign Secretary Meets the Press"	"769 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 3"	NA	NA
"53"	"By ALISSA J. RUBIN and LILIA BLAISE; Aurelien Breeden contributed reporting from Paris, and Richard Martyn-Hemphill from London.. Follow Alissa J. Rubin on Twitter @Alissanyt and Lilia Blaise @liliagaida."	"July 20, 2016 Wednesday"	NA	"Truck Attack in Nice Claimed Many Muslim Lives"	"762 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"54"	"By MELISSA EDDY; Reporting was contributed by Mohamad Fahim Abed and Mujib Mashal from Kabul, Afghanistan; Mona Boshnaq from London; Rukmini Callimachi from New York; Victor Homola from Berlin; and Alan Wong from Hong Kong.. Follow Melissa Eddy on Twitter @meddynyt."	"July 20, 2016 Wednesday"	NA	"Afghan Teenager Spoke of Friend's Death Before Attack in Germany"	"1390 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"55"	"By MARC SANTORA"	"July 20, 2016 Wednesday"	NA	"Fear, Danger and Anger: It's Vintage Giuliani at the G.O.P. Convention"	"1097 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 18"	NA	NA
"56"	"By TIM ARANGO and BEN HUBBARD; Ceylan Yeginsu contributed reporting.. Follow Tim Arango @tarangoNYT and Ben Hubbard @NYTBen on Twitter."	"July 20, 2016 Wednesday"	NA	"With Coup Crushed, Turkish Leaders Pursue a Rival in the U.S."	"1552 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"57"	"By FARHAD KHOSROKHAVAR. Farhad Khosrokhavar is a sociologist at the Ecole des hautes études en Sciences Sociales (EHESS) and the author, most recently, of ''Radicalization.'' This essay was translated by John Cullen from the French."	"July 20, 2016 Wednesday"	NA	"Jihad and the French Exception"	"1060 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"58"	""	"July 20, 2016 Wednesday"	NA	"Names of the Dead"	"48 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"59"	"By REUTERS"	"July 20, 2016 Wednesday"	NA	"Airstrikes Are Said to Kill Dozens of Syrian Civilians"	"413 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"60"	"By THE EDITORIAL BOARD"	"July 20, 2016 Wednesday"	NA	"Mr. Erdogan's Reckless Revenge"	"546 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 22"	NA	NA
"61"	"By SINAN ANTOON. Sinan Antoon, a poet and novelist, is an associate professor at New York University."	"July 21, 2016 Thursday"	NA	"Living with death in Baghdad"	"975 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"62"	"By FARHAD KHOSROKHAVAR. Farhad Khosrokhavar is a sociologist at the Ecole des hautes études en Sciences Sociales (EHESS) and the author, most recently, of ''Radicalization.'' This essay was translated by John Cullen from the French."	"July 21, 2016 Thursday"	NA	"Jihad and the French Exception"	"1060 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 23"	NA	NA
"63"	"By MEGAN JULA"	"July 21, 2016 Thursday"	NA	"New Trend for Terrorists: 'Dying Live' as Attacks Unfold"	"547 words"	"The New York Times"	"Section ; Column 0; Metropolitan Desk; Pg. "	NA	NA
"64"	"By HELENE COOPER"	"July 21, 2016 Thursday"	NA	"Officials Discuss Plans to Diminish ISIS's Reach"	"699 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"65"	"By MARK LANDLER"	"July 21, 2016 Thursday"	NA	"Obama's Support of Erdogan Is Stark Reminder of Turkey's Value to U.S."	"1188 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"66"	"By DAVID E. SANGER and MAGGIE HABERMAN"	"July 21, 2016 Thursday"	NA	"Trump Plays Down U.S. Commitment to NATO and Role Abroad"	"1545 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"67"	"By RICK LYMAN"	"July 21, 2016 Thursday"	NA	"After Attack on German Train, Fears of Migrants, and Among Them, Too"	"1179 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"68"	"By GAIL COLLINS"	"July 21, 2016 Thursday"	NA	"Pence Versus Trump Kids"	"865 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
