"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"22"	"Roger Cohen"	"17 november 2015 dinsdag"	NA	"Om Parijs te redden, moeten we  IS verslaan"	"1268 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"23"	"Hubert Smeets"	"18 november 2015 woensdag"	NA	"    'Parijs' haalt Poetin uit zijn isolement"	"1192 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"24"	"Floris van Straaten"	"18 november 2015 woensdag"	NA	"Was hij het meesterbrein? "	"954 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"25"	""	"18 november 2015 woensdag"	NA	"[President Poetin van Rusland heeft een staatscommi...]*"	"264 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"26"	"Marjolijn van Oordt"	"18 november 2015 woensdag"	NA	"brieven"	"364 woorden"	"NRC Handelsblad"	"opinie"	NA	NA
"27"	"Caroline de Gruyter"	"19 november 2015 donderdag"	NA	"Liefde. Dat helpt tegen radicalisering"	"1097 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"28"	"Ewoud Sanders"	"19 november 2015 donderdag"	NA	"Moet koud worden gegeten: wraak ; Woordhoek"	"512 woorden"	"NRC Handelsblad"	"Achterpagina; Blz. 20"	NA	NA
"29"	""	"19 november 2015 donderdag"	NA	"[Woede China en Noorwegen na executies China heeft ...]*"	"284 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"30"	"Door een onzer redacteuren"	"19 november 2015 donderdag"	NA	"Leiders van IS halen hun familie weg uit Raqqa"	"543 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"31"	"Door een onzer redacteur"	"19 november 2015 donderdag"	NA	"  Huisblad IS pocht over bom op Airbus"	"343 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"32"	"Nicolas Hénin"	"19 november 2015 donderdag"	NA	"Ik was gegijzeld door IS.  Ze zijn eerder stom dan slecht"	"1250 woorden"	"NRC Handelsblad"	"opinie"	NA	NA
"33"	""	"20 november 2015 vrijdag"	NA	"           Koerden Nederland stuurt peshmerga's wapens voor strijd tegen IS "	"106 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"34"	"Juurd Eijsvoogel"	"20 november 2015 vrijdag"	NA	"Twee lepeltjes humor is niet genoeg tegengif"	"627 woorden"	"NRC Handelsblad"	"Buitenland"	NA	NA
"35"	"Annemarie Kas"	"20 november 2015 vrijdag"	NA	"Den Haag vestigt hoop op wijkagent "	"829 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"36"	"Niels Roelen"	"20 november 2015 vrijdag"	NA	"Moderne Blitzkrieg IS geeft ons het nakijken"	"1063 woorden"	"NRC Handelsblad"	"opinie"	NA	NA
